Country|Region|Lat|Lon|Type|Status|Amount
Niger|Tamou|12.755278|2.176667|Sandstone-Tabular|Operating|10,000-25,000
Niger|Taossa|17.333333|8.983333|Sandstone-Tabular|Dormant|2,500-5,000
Niger|Teguidda|17.4175|6.644444|Sandstone-Tabular|Dormant|10,000-25,000
Pakistan|Baghal Chur|30.249444|70.303889|Sandstone-Roll Front|Depleted|< 500
Peru|Colquijirca|-10.733333|-76.233333|Other|500-1,000Dormant|nan
Poland|Kowary|50.793056|15.835556|Vein|Dormant|500-1,000
Poland|Krynica Morska|54.380278|19.443889|Sandstone-Tabular|Dormant|2,500-5,000
Poland|Okrzeszyn|52.125833|21.141389|Other|Dormant|1,000-2,500
Poland|Radoniow|51.004167|15.467222|Vein|Dormant|500-1,000
Poland|Rajsk|52.845833|23.152778|Black Shales|Dormant|5,000-10,000
Poland|Wambierzyce|50.489167|16.456111|Black Shales|Dormant|1,000-2,500
Portugal|Bica|38.933333|-8.15|Vein|Depleted|UNKNOWN
Portugal|Castelejo|40.123889|-7.576944|Vein|Depleted|UNKNOWN
Portugal|Cunha Baixa|40.553333|-7.748611|Vein|Depleted|UNKNOWN
Portugal|Freixiosa|40.611944|-7.678056|Vein|Dormant|UNKNOWN
Portugal|Mestras|37.464444|-8.049444|Vein|Dormant|UNKNOWN
Portugal|Nisa|39.518056|-7.674722|Vein|Dormant|2,500-5,000
Portugal|Pedreiros|41.15|-8.233333|Vein|Depleted|UNKNOWN
Portugal|Quinta Do Bispo|38.7|-8.256389|Vein|Depleted|UNKNOWN
Portugal|Urgeirica|40.503611|-7.903056|Vein|Depleted|1,000-2,500
Romania|Arieseni|46.476389|22.755278|Vein|Closed|500-1,000
Romania|Avram Iancu|46.383333|22.783333|Vein|Closed|500-1,000
Romania|Baita Bihor|46.481389|22.585278|Sandstone-Tabular|Closed|10,000-25,000
Romania|Bicazu Ardelean|46.868611|25.925556|Vein|Dormant|500-1,000
Romania|Botusana|47.683333|25.95|Vein|Closed|1,000-2,500
Romania|Ciudanovita|45.153056|21.753889|Sandstone-Tabular|Depleted|500-1,000
Romania|Conop|46.103889|21.880278|Vein|Dormant|500-1,000
Romania|Crucea|47.374722|25.5925|Vein|Operating|2,500-5,000
Romania|Milova|46.105833|21.801944|Vein|Dormant|500-1,000
Romania|Paiuseni|46.249167|22.094167|Vein|Dormant|500-1,000
Romania|Rachitele|46.706389|22.895|Sandstone-Tabular|Dormant|500-1,000
Romania|Ranusa|46.430833|22.254444|Sandstone-Tabular|Dormant|1,000-2,500
Romania|Tulghes|46.925278|25.753056|Vein|Operating|5,000-10,000
Russia|Argunskoye|47.9625|134.576944|Vein|Development|25,000-50,000
Russia|Belskoje|57.816111|92.163056|Lignite|Dormant|5,000-10,000
Russia|Beshtau|44.098333|43.023611|Vein|Depleted|500-1,000
Russia|Buyanovskoye|50.359722|127.634444|Sandstone-Roll Front|Dormant|5,000-10,000
Russia|Chaika|60.016944|38.106944|Volcanic|Dormant|2,500-5,000
Russia|Dalneye|54.7225|21.428333|Volcanic|Dormant|2,500-5,000
Russia|Dobrovolnoye|56.686944|86.3|Sandstone-Basal Channel|Dormant|5,000-10,000
