 |Mine Name|Mine Name AKAs|Mine Name (Non-ENG)|GEM Wiki Page (ENG)|GEM Wiki Page (Non-ENG)|Status|Status Detail|Project Type|Project Phase|Operators|Owners|Parent Company|Company HQs|Production or Capacity Data (Mtpa)|Coal Output (Annual, Mt)|Coal Output (Annual, Mst)|Mine Type|Mining Method|Mine Size (Km2)|Mine Depth (m)|Depth Accuracy|Workforce Size|Coal Type|Coal Grade|Reserves Total (Proven & Probable)|Proven Reserve|Probable Reserve|Resource (Measured)|Resource (Indicated)|Resource (Measured + Indicated)|Resource (Total - Inferred, Indicated, Measured)|Reserve to Production Ratio (R/P)|Opening Year|Reported Life of Mine|Coalfield|Location|Prefecture, District|State, Province|Country|ISO Code|Region|Latitude|Longitude|Location Accuracy|Primary Consumer, Destination|Coal Plant, Steel Plant, Terminal|Coal Plant, Steel Plant, Terminal GEM Wiki|Methane Gas Content (m^3/tonne)|Coal Mine Methane Emissions Estimate (MCM/yr)|CMM Emissions (CO2e 100 years)|Carbon Dioxide Emissions (Mt CO2/yr)
M1583|Karadon Coal Mine||Gelik, Kilimli|https://www.gem.wiki/Karadon_coal_mine||Operating||||Karadon Taşkömürü Işletme Müessesesi|TTK|TTK|Turkey|Production|0.27||Underground|||494|Estimate||Bituminous||407|131|276|-|-|-|-|1535|1983|||Kilimli||Zonguldak|Turkey|792|Europe (non-EU)|41.483081|31.868239|Exact||||13.7|5.8|0.1|0.64
M1582|Karagedik Coal Mine|||https://www.gem.wiki/Karagedik_Coal_Mine||Operating||||Başkent Gölbaşı Madencilik A.Ş.|Başkent Gölbaşı Madencilik A.Ş.|Anayurt Madencilik|Turkey|Capacity|0.38||Surface|Open Pit||50|Estimate||Lignite|Thermal|18|18|-|-|-|-|-|48||||Karagedik|Gölbaşı|Ankara|Turkey|792|Europe (non-EU)|39.571975|32.834472|Exact||||0.8|0.5|0.0|0.44
M0969|Kinik Coal Mine|||https://www.gem.wiki/Kinik_coal_mine||Proposed|Construction|New||Polyak Enez|Fina Energy Holding|Fina Energy Holding|Turkey|Capacity|5||Underground|||446|Estimate||Lignite|Thermal|250|250|-|-|-|-|-|50|TBD|40|Kınık|Kinik||Izmir|Turkey|792|Europe (non-EU)|39.085627|27.335387|Approximate|Coal Plant|Kinik Power Station|https://www.gem.wiki/Kınık_power_station|4.2|33.6|0.7|5.91
M0970|Kozlu Coal Mine|||https://www.gem.wiki/Kozlu_coal_mine||Operating||||Kozlu Taşkömürü Işletme Müessesesi|TTK|TTK|Turkey|Production|0.15||Underground|||494|Estimate||Bituminous||153|65|88|-|-|-|48|1020|1926||Zonguldak|Kozlu||Zonguldak|Turkey|792|Europe (non-EU)|41.432342|31.75826|Exact||||13.7|3.3|0.1|0.36
M1581|Kuyucak Coal Mine|||https://www.gem.wiki/Kuyucak_Coal_Mine||Operating||||Polat Kömür A.Ş.|Polat Kömür A.Ş.|Polat Kömür A.Ş.|Turkey|Production|0.08||Underground|||494|Estimate||Lignite|Thermal|-|-|-|-|-|-|-|-|2013|||Musakolu|Kuyucak|Aydın|Turkey|792|Europe (non-EU)|38.060345|28.628563|Approximate||||4.5|0.5|0.0|0.09
M1580|Malkara Coal Mine|||https://www.gem.wiki/Malkara_Coal_Mine||Operating||||Karma Madencilik İnşaat Sanayi ve Tic. A.Ş.|Yeni Anadolu Madencilik ve Teknolojileri San. Tic. A.Ş.|Yeni Anadolu Madencilik ve Teknolojileri San. Tic. A.Ş.|Turkey|Production|0.1||Underground|||494|Estimate||Lignite|Thermal|-|-|-|-|-|-|-|-|2009|||Hasköy|Malkara|Tekirdağ|Turkey|792|Europe (non-EU)|40.931881|26.806032|Exact|Coal Plant|Malkara Power Station|https://www.gem.wiki/Tekirdağ_Malkara_power_station|4.5|0.7|0.0|0.12
M0971|Omerler Coal Mine|||https://www.gem.wiki/Omerler_coal_mine||Operating||||West Lignite Enterprise (Garp Linyitleri İşletmesi Müessesesi Müdürlüğü)|Türkiye Kömür İşletmeleri (TKI)|Türkiye Kömür İşletmeleri (TKI)|Turkey|Production|0.3||Underground|Longwall||494|Estimate||Lignite|Thermal|62|-|-|-|-|-|-|207|1985||Tunçbilek|Ömerler||Kutahya|Turkey|792|Europe (non-EU)|37.57055|28.11058|Exact||||4.5|2.2|0.0|0.35
M1579|Pirinççeşme Coal Mine|||https://www.gem.wiki/Pirin%C3%A7%C3%A7e%C5%9Fme_Coal_Mine||Operating||||Uysal Madencilik Limited|Uysal Madencilik Limited|Uysal Madencilik Limited|Turkey|Production|0.5||Underground|||494|Estimate||Lignite|Thermal|-|-|-|-|-|-|-|-|1970|||Pirinççeşme|Malkara|Tekirdağ|Turkey|792|Europe (non-EU)|41.001763|26.862122|Exact||||4.5|3.6|0.1|0.59
M1578|PLT Çeltek Coal Mine|||https://www.gem.wiki/PLT_Çeltek_Coal_Mine||Operating||||PLT Madencilik Sanayi ve Ticaret A.Ş.|Polat Kömür A.Ş.|Polat Kömür A.Ş.|Turkey|Production|0.05||Surface|Open Pit||50|Estimate||Lignite|Thermal|3|-|-|-|-|-|-|68|2013||Oğulbağı|Oğulbağı|Suluova|Amasya|Turkey|792|Europe (non-EU)|40.865936|35.656076|Exact||||0.8|0.1|0.0|0.06
M0972|Seyitomer Coal Mine|Seyitomer Lignite Facility||https://www.gem.wiki/Seyitomer_coal_mine||Operating||||Çelikler Seyitömer Elektrik Üretim A.Ş.|Çelikler Holding|Çelikler Holding|Turkey|Production|6||Surface|Open Pit||50|Estimate||Lignite|Thermal|176|176|-|-|-|-|-|29|1960|||Seyitomer||Kutahya|Turkey|792|Europe (non-EU)|39.574254|29.832337|Approximate||||0.8|7.2|0.1|7.09
M0973|Sivas Kangal Coal Mine|||https://www.gem.wiki/Sivas_Kangal_coal_mine||Operating||||Demir Export|Euas Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ)|Euas Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ)|Turkey|Production|8||Surface|Open Pit||50|Estimate||Lignite|Thermal|-|-|-|-|-|-|-|-|1989|||Hamal||Central Anatolia|Turkey|792|Europe (non-EU)|39.0777|37.2955|Exact|Coal Plant|Kangal Power Station|https://www.gem.wiki/Kangal_power_station|0.8|9.6|0.2|9.45
M1577|Sorgun Coal Mine|||https://www.gem.wiki/Sorgun_Coal_Mine||Operating||||Yeni Anadolu Madencilik ve Teknolojileri San. Tic. A.Ş.|Yeni Anadolu Madencilik ve Teknolojileri San. Tic. A.Ş.|Yeni Anadolu Madencilik ve Teknolojileri San. Tic. A.Ş.|Turkey|Production|0.2||Underground & Surface|Mixed||50|Estimate||Lignite|Thermal|-|-|-|-|-|-|-|-|1965|||Küçükköhne||Yozgat|Turkey|792|Europe (non-EU)|39.786437|35.135837|Approximate|Coal Plant|Sorgun Power Station||0.8|0.3|0.0|0.24
M0974|South Aegean Coal Mines|Bağkaya, Tınaz, Eskihisar, Bayır-Salihpaşalar||https://www.gem.wiki/South_Aegean_coal_mines||Operating||||South Aeagan Lignite Enterprise (Güney Ege Linyitleri İşletmesi Müessesesi Müdürlüğü)|Bereket Enerji|Bereket Enerji|Turkey|Production|5.3||Surface|Open Pit||50|Estimate||Lignite|Thermal|161|161|-|-|-|-|-|30|1983|||Yatagan||Mugla|Turkey|792|Europe (non-EU)|37.323198|28.092284|Exact|Coal Plant|Yatağan Power Station|https://www.gem.wiki/Yatağan_power_station|0.8|6.4|0.1|6.26
M0975|Tufanbeyli Coal Mine|||https://www.gem.wiki/Tufanbeyli_coal_mine||Operating||||Fernas Construction|Enerjisa Enerji Üretim|Enerjisa Enerji Üretim|Turkey|Production|5.5||Surface|Open Pit||50|Estimate||Lignite|Thermal|250|-|-|-|-|-|-|45|2016||Tufanbeyli||Tufanbeyli|Adana|Turkey|792|Europe (non-EU)|38.18562|36.26994|Exact|Coal Plant|Tufanbeyli Power Station|https://www.gem.wiki/Tufanbeyli_power_station|0.8|6.6|0.1|6.50
M0976|Tuncbilek Coal Mine|||https://www.gem.wiki/Tuncbilek_coal_mine||Operating||||West Lignite Enterprise (Garp Linyitleri İşletmesi Müessesesi Müdürlüğü)|Türkiye Kömür İşletmeleri (TKI)|Türkiye Kömür İşletmeleri (TKI)|Turkey|Production|1.1||Surface|Open Pit||50|Estimate||Lignite|Thermal|62|-|-|-|-|-|-|56|1939|||Tunçbilek|Tavşanlı|Kutahya|Turkey|792|Europe (non-EU)|39.634823|29.455311|Exact|Coal Plant|Polat Power Station|https://www.gem.wiki/Polat_power_station|0.8|1.3|0.0|1.30
M0977|Uzulmez Coal Mine|||https://www.gem.wiki/%C3%9Cz%C3%BClmez_coal_mine||Operating||||Üzülmez Taşkömürü Işletme Müessesesi|TTK|TTK|Turkey|Production|0.16||Underground|||494|Estimate||Bituminous||165|132|32|-|94|94|168|1044|1926||Zonguldak|Üzülmez||Zonguldak|Turkey|792|Europe (non-EU)|41.438877|31.84698|Approximate||||13.7|3.5|0.1|0.38
M1460|Vize Coal Mine|||https://www.gem.wiki/Vize_coal_mine||Proposed|Pre-Permit|New||Türkiye Kömür İşletmeleri (TKI)|Türkiye Kömür İşletmeleri (TKI)|Türkiye Kömür İşletmeleri (TKI)|Turkey|Capacity|0.83||Underground|||494|Estimate||Lignite|Thermal|-|-|-|-|-|-|-|-|TBD|||Kiklareli Visa||Topçuköy|Turkey|792|Europe (non-EU)|41.728996|27.227462|Approximate||||4.5|5.9|0.1|0.97
M1575|Yeni Çeltek Coal Mine|||https://www.gem.wiki/Yeni_%C3%87eltek_Coal_Mine||Operating||||Gürmin Enerji Madencilik A.Ş|Xuzhou Mining Group Company (70%), Datong Shuangjian Industrial Company (30%)|Xuzhou Mining Group Company (70%), Datong Shuangjian Industrial Company (30%)|China|Production|0.08||Underground|||494|Estimate||Lignite|Thermal|10|3|10|-|-|-|-|129|1955||||Suluova|Amasya|Turkey|792|Europe (non-EU)|40.876386|35.62112|Approximate||||4.5|0.6|0.0|0.09
M1281|Yeniköy Lignite Mines (Kemerköy)||Çarkıralan Belentepe, Hüsamlar|https://www.gem.wiki/Yenik%C3%B6y_Lignite_Mines_(Kemerk%C3%B6y)||Operating||||Yeniköy Kemerköy Electricity Generation and Trade Inc|IC İçtaş Enerji - Limak Enerji|IC İçtaş Enerji - Limak Enerji|Turkey|Production|4.5||Underground & Surface|Mixed||50|Estimate||Lignite|Thermal|47|-|-|-|-|-|-|11|2014||Yeniköy|Oren||Mugla|Turkey|792|Europe (non-EU)|37.163465|27.889172|Exact|Coal Plant|Kemerköy Power Station|https://www.gem.wiki/Kemerk%C3%B6y_power_station|0.8|5.8|0.1|5.32
M1282|Yenikoy Lignite Mines (Yeniköy)||Sekköy, İkizköy, Akbelen, Karacahisar|https://www.gem.wiki/Yenikoy_Lignite_Mines_(Yenik%C3%B6y)||Operating||||Yeniköy Kemerköy Electricity Generation and Trade Inc|Yeniköy Kemerköy Electricity Generation and Trade|Yeniköy Kemerköy Electricity Generation and Trade|Turkey|Production|3.5||Underground & Surface|Mixed||50|Estimate||Lignite|Thermal|-|-|-|-|-|-|184|-|2014||Yeniköy|Oren||Mugla|Turkey|792|Europe (non-EU)|37.163465|27.889172|Exact|Coal Plant|Yeniköy Power Station|https://www.gem.wiki/Yenik%C3%B6y_power_station|0.8|4.5|0.1|4.14
M2907|Almaznaya Coal Mine|||https://www.gem.wiki/Almaznaya_Coal_Mine||Mothballed|War in Ukraine|||DTEK Dobropolyeugol|DTEK Group|SMC Holdings|Ukraine|Production|0.71||Underground|||730|Estimate||Bituminous|Thermal|-|-|-|-|-|-|-|-||||||Donestk|Ukraine|804|Europe (non-EU)|48.482036|37.071834|Exact||||15.8|17.9|0.4|1.70
M0980|Bazhanova Coal Mine|||https://www.gem.wiki/Bazhanova_coal_mine||Mothballed|War in Ukraine|||Makiivvuhillya|Volynugol|Government of Ukraine|Ukraine|Production|1||Underground|||1322|Exact||Bituminous|Thermal|59|-|-|-|-|-|-|59||||||Donestk|Ukraine|804|Europe (non-EU)|48.344165|39.658057|Exact||||18.5|29.6|0.6|2.40
M2864|Belitskaya Coal Mine|Bilystka||https://www.gem.wiki/Belitskaya_Coal_Mine||Mothballed|War in Ukraine|||DTEK Dobropolyeugol|DTEK Group|SMC Holdings|Ukraine|Production|0.42||Underground|||730|Estimate||Bituminous|Thermal|-|-|-|-|-|-|-|-|1959|||||Donestk|Ukraine|804|Europe (non-EU)|48.421788|37.150823|Exact||||15.8|10.6|0.2|1.01
M0981|Bilorichenska Coal Mine||Білоріченська|https://www.gem.wiki/Bilorichenska_coal_mine||Mothballed|War in Ukraine|||Luhanskvuhillya|Luhanskvuhillya|Luhanskvuhillya|Ukraine|Production|1.2||Underground|||730|Estimate|1800|Bituminous|Thermal|12|-|-|-|-|-|-|10|1957|||Bilorichens'kyi|Lutuhyne|Luhansk|Ukraine|804|Europe (non-EU)|48.455534|39.071417|Exact||||15.8|30.3|0.6|2.88
M1359|Bilozerskaya Coal Mine||Білозерська|https://www.gem.wiki/Bilozerskaya_Coal_Mine||Mothballed|War in Ukraine|||Bilozerska Mine ALC|DTEK Group|SMC Holdings|Ukraine|Production|0.64||Underground|||730|Estimate||Bituminous|Thermal|-|-|-|-|-|-|-|-|1954|||Bilozers'ke|Dobropillia|Donestk|Ukraine|804|Europe (non-EU)|48.5182958|37.0347969|Exact||||15.8|16.3|0.3|1.55
M3345|Buzhanskaya Coal Mine||Шахта Бужанская|https://www.gem.wiki/Buzhanskaya_Coal_Mine||Operating||||Volynugol|Volynugol|Government of Ukraine|Ukraine|Production|0.05||Underground|||380|Exact|777|Bituminous|Thermal|-|-|-|-|-|-|-|-|1979|||Novovolynsk||Volyn|Ukraine|804|Europe (non-EU)|50.781905|24.122026|Exact||||12.1|0.9|0.0|0.12
M3351|Carbonite Coal Mine||Шахта Карбонит|https://www.gem.wiki/Carbonite_Coal_Mine||Closed||||Pervomaiskugol|Pervomaiskugol|Ministry of Energy|Ukraine|Production|0.3||Underground||300|300|Exact|1190|Bituminous||-|-|-|-|-|-|-|-||||Zolotoye||Luhansk|Ukraine|804|Europe (non-EU)|48.713398|38.488521|Exact||||10.9|5.2|0.1|0.72
M1409|Dniprovska Coal Mine|Dneprovskaya|Дніпровська|https://www.gem.wiki/Dniprovska_Coal_Mine||Operating||||DTEK Pavlogradugol|DTEK Group|SMC Holdings|Ukraine|Production|1.8||Underground|||730|Estimate||Bituminous||113|-|-|-|-|-|-|63|1975|||Ternivka|Pavlohrad|Dnipropetrovsk|Ukraine|804|Europe (non-EU)|48.4669683|36.2320206|Exact||||15.8|45.5|0.9|4.32
M1402|Dobropilska Coal Mine||Добропільська|https://www.gem.wiki/Dobropilska_Coal_Mine||Mothballed|War in Ukraine|||DTEK Dobropolyeugol|DTEK Group|SMC Holdings|Ukraine|Production|2.128||Underground|||730|Estimate||Bituminous||-|-|-|-|-|-|-|-|1941|||Dobropillia|Dobropillia|Donestk|Ukraine|804|Europe (non-EU)|48.4672734|37.0983411|Exact||||15.8|53.8|1.1|5.11
M1383|Dovzhanska-Kapitalna Coal Mine|Dolzhanskaya-Kapitalnaya Coal Mine||https://www.gem.wiki/Dovzhanska-Kapitalna_Coal_Mine||Operating||||DTEK Sverdlovanthracite|DTEK Group|SMC Holdings|Ukraine|Production|2.1||Underground|||730|Estimate||Anthracite|Thermal|84|-|-|-|-|-|-|40|1974|||Sverdlovsk (Dovzhansk)|Sverdlovsk|Luhansk|Ukraine|804|Europe (non-EU)|48.0145201|39.7236443|Exact||||26.5|89.0|1.8|5.42
M2858|F. E. Dzerzhynskoho Coal Mine|Dzerzhinskogo Coal Mine||https://www.gem.wiki/F._E._Dzerzhynskoho_Coal_Mine||Operating||||DTEK Rovenkianthracite|DTEK Group|SMC Holdings|Ukraine|Capacity|0.4||Underground|||730|Estimate||Bituminous||-|-|-|-|-|-|-|-|1917|||Dzerzhinsk||Luhansk|Ukraine|804|Europe (non-EU)|48.036272|39.45257|Exact||||15.8|10.1|0.2|0.96
M2823|Faschevskaya Coal Mine|||https://www.gem.wiki/Faschevskaya_Coal_Mine||Operating||||Luhanskvuhillya|Luhanskvuhillya|Luhanskvuhillya|Ukraine|Production|0.28||Underground|||730|Estimate||Bituminous||-|-|-|-|-|-|-|-|1949|||Faschivska||Luhansk|Ukraine|804|Europe (non-EU)|48.290098|38.629663|Exact||||15.8|7.1|0.1|0.67
M2901|Glubokaya Coal Mine|||https://www.gem.wiki/Glubokaya_Coal_Mine||Mothballed|War in Ukraine|||UglePromInvest|UglePromInvest|UglePromInvest|Russia|Production|0.64||Underground|||730|Estimate||Bituminous||-|-|-|-|-|-|-|-|1957|||Mariivka||Donestk|Ukraine|804|Europe (non-EU)|47.998786|37.941716|Exact||||15.8|16.2|0.3|1.54
M2836|Gorskaya Coal Mine||Шахта Горская|https://www.gem.wiki/Gorskaya_Coal_Mine||Operating||||Pervomaiskugol|Pervomaiskugol|Ministry of Energy|Ukraine|Production|0.32||Underground|||730|Estimate|1400|Bituminous||18|-|-|-|-|-|-|55|1957|||||Luhansk|Ukraine|804|Europe (non-EU)|48.739957|38.502372|Exact||||15.8|8.1|0.2|0.77
M1283|Heroes of Space Coal Mine|Heroyiv Kosmosu|Героїв Космосу|https://www.gem.wiki/Heroes_of_Space_Coal_Mine||Operating||||DTEK Pavlogradugol|DTEK Group|SMC Holdings|Ukraine|Production|3.1||Underground|||730|Estimate||Bituminous||-|-|-|-|-|-|-|-|1978|||Verbky|Pavlohrad|Dnipropetrovsk|Ukraine|804|Europe (non-EU)|48.5954636|35.9563957|Exact||||15.8|78.4|1.6|7.44
M2863|Kalinin Coal Mine|||https://www.gem.wiki/Kalinin_Coal_Mine||Mothballed|War in Ukraine|||Donetsk Coal Energy Company|DTEK Group|SMC Holdings|Ukraine|Production|0.42||Underground|||730|Estimate||Bituminous||-|-|-|-|-|-|-|-|1963|||||Donestk|Ukraine|804|Europe (non-EU)|48.332576|38.121584|Exact||||15.8|10.6|0.2|1.01
M1441|Kapitalna Coal Mine|Stakhanov Coal Mine, Капітальна||https://www.gem.wiki/Kapitalna_Coal_Mine||Mothballed|War in Ukraine|||DTEK Dobropolyeugol|DTEK Group|SMC Holdings|Ukraine|Production|0.86||Underground|||730|Estimate||Bituminous||-|-|-|-|-|-|-|-|1974|||Myrnohrad|Myrnohrad|Donestk|Ukraine|804|Europe (non-EU)|48.328028|37.307288|Exact||||15.8|21.7|0.4|2.06
M2837|Kharkovskaya Coal Mine|||https://www.gem.wiki/Kharkovskaya_Coal_Mine||Operating||||DTEK Sverdlovanthracite|DTEK Group|SMC Holdings|Ukraine|Capacity|0.32||Underground|||494|Estimate||Anthracite||-|-|-|-|-|-|-|-||||Kyseleve||Luhansk|Ukraine|804|Europe (non-EU)|48.0524|39.517922|Exact||||24.1|12.3|0.2|0.83
M1284|Komsomolets Dombassa Coal Mine|||https://www.gem.wiki/Komsomolets_Donbassa_Coal_Mine||Mothballed|War in Ukraine|||DTEK Mine Komsomolets Donbassa|DTEK Group|SMC Holdings|Ukraine|Production|4.5||Underground|||730|Estimate||Bituminous||158|-|-|-|-|-|-|35|1980|||Kirovske (Khrestivka)|Shakhtyorsky|Donestk|Ukraine|804|Europe (non-EU)|48.147547|38.400791|Exact||||15.8|113.8|2.3|10.80
M0982|Krasnolymanska Coal Mine|||https://www.gem.wiki/Krasnolymanska_coal_mine||Mothballed|War in Ukraine|||JSC Krasnolimanskaya Mine|Government of Ukraine|Government of Ukraine|Ukraine|Production|2||Underground|||730|Estimate||Bituminous|Met|65|-|-|-|-|-|-|33||||Rodynske|Pokrovsk|Donetsk|Ukraine|804|Europe (non-EU)|48.3626163|37.2417432|Exact||||15.8|50.6|1.0|5.25
M2481|Lubel Coal Mine|||https://www.gem.wiki/Lubel_Coal_Mine||Proposed|Construction|New||Lubel Coal Company|Lubel Coal Company|Lubel Coal Company|Ukraine|Capacity|5.2||Underground||3.6|730|Estimate|2800|Bituminous|Met|-|-|-|-|-|-|336|-|2021|39|Lvov-Volyn|||Volyn|Ukraine|804|Europe (non-EU)|49.861104|23.945771|Approximate||||15.8|131.5|2.6|13.64
M1410|Luhanske Coal Mine||Луганське|https://www.gem.wiki/Luhanske_Coal_Mine||Operating||||Luhansk Coal|Tsentrugol|Tsentrugol|Ukraine|Production|1.5||Underground|||730|Estimate||Bituminous||-|-|-|-|-|-|-|-|1975|||Katerynivka|Lutuhyne|Luhansk|Ukraine|804|Europe (non-EU)|48.5518458|39.1745283|Exact||||15.8|37.9|0.8|3.60
M1384|M. V. Frunze Coal Mine||М. В. Фрунзе|https://www.gem.wiki/M._V._Frunze_Coal_Mine||Operating||||Rovenky Anthracite|JSC Vneshtorgservis|JSC Vneshtorgservis|South Ossetia|Production|1.8||Underground|||730|Estimate||Anthracite|Thermal|48|-|-|-|-|-|-|27|1975|||Yasenivskyi|Antratsyt|Luhansk|Ukraine|804|Europe (non-EU)|48.1444188|39.2513486|Exact||||26.5|76.3|1.5|4.64
M3346|NI Stashkov Coal Mine||Шахта имени Н. И. Сташкова|https://www.gem.wiki/NI_Stashkov_Coal_Mine||Closed||||DTEK Pavlogradugol|DTEK Group|SMC Holdings|Ukraine|Production|0||Underground|||380|Exact||Bituminous||-|-|-|-|-|-|-|-|1982|||||Dnipropetrovsk|Ukraine|804|Europe (non-EU)|48.450499|36.219909|Exact||||12.1|0.0|0.0|0.00
M1405|Novodonetskaya Coal Mine||Новодонецкая|https://www.gem.wiki/Novodonetskaya_Coal_Mine||Mothballed|War in Ukraine|||Dobropillya Coal Mining|Government of Ukraine|Government of Ukraine|Ukraine|Production|1||Underground|||730|Estimate||Bituminous||78|-|-|-|-|-|-|78|1968|||Bilozers'ke|Dobropillia|Donestk|Ukraine|804|Europe (non-EU)|48.5589919|37.003202|Exact||||15.8|25.3|0.5|2.40
M3347|Novovolynskaya No 1 Coal Miine||Шахта Нововолынская № 1|https://www.gem.wiki/Novovolynskaya_No_1_Coal_Miine||Operating||||Volynugol|Volynugol|Government of Ukraine|Ukraine|Production|0.1||Underground|||396|Exact|755|Bituminous||-|-|-|-|-|-|-|-|1954|||Novovolynsk||Volyn|Ukraine|804|Europe (non-EU)|50.730489|24.124429|Exact||||12.1|1.9|0.0|0.24
M1406|Pavlohradska Coal Mine||Павлоградська|https://www.gem.wiki/Pavlohradska_Coal_Mine||Operating||||DTEK Pavlogradugol|DTEK Group|SMC Holdings|Ukraine|Production|1.2||Underground|||730|Estimate||Bituminous||-|-|-|-|-|-|-|-|1968|||Pavlohrad|Pavlohrad|Dnipropetrovsk|Ukraine|804|Europe (non-EU)|48.5584675|35.9871551|Exact||||15.8|30.3|0.6|2.88
M1398|Pivdennodonbaska 1 Coal Mine|Yuzhnodonskaya 1 Coal Mine||https://www.gem.wiki/Pivdennodonbaska_1_Coal_Mine||Mothballed|War in Ukraine|||State Coal Company of Ukraine|Government of Ukraine|Government of Ukraine|Ukraine|Production|0.48||Underground|||420|Exact||Bituminous||-|-|-|-|-|-|-|-|1973|||Vuhledar|Volnovakha|Donestk|Ukraine|804|Europe (non-EU)|47.791167|37.289284|Exact||||12.8|9.8|0.2|1.15
M0983|Pokrovs'ke Coal Mine|Krasnoarmeyskaya-Zapadnaya No. 1||https://www.gem.wiki/Pokrovs%27ke_coal_mine||Mothballed|War in Ukraine|||Shakhtoupravlenye Pokrovske|Metinvest Group|Metinvest Group|Ukraine|Production|6.2||Underground|||730|Estimate||Bituminous|Met|80|-|-|-|-|-|-|13|||||Pokrovsk|Donetsk|Ukraine|804|Europe (non-EU)|48.259661|36.992682|Exact||||15.8|156.7|3.1|16.26
M2336|Red Partisan Coal Mine||Червоний партизан, Красный партизан|https://www.gem.wiki/Red_Partisan_Coal_Mine||Operating||||DTEK Sverdlovanthracite|DTEK Group|SMC Holdings|Ukraine|Capacity|0.75||Underground|||494|Estimate||Anthracite||122|-|-|-|-|-|-|163|1958|||Chervonopartyzansk, Voznesenivka|Sverdlovsk (Dovzhansk)|Luhansk|Ukraine|804|Europe (non-EU)|48.061764|39.8073332|Exact||||24.1|28.9|0.6|1.94
M1408|Samarska Coal Mine||Самарська|https://www.gem.wiki/Samarska_Coal_Mine||Operating||||DTEK Pavlogradugol|DTEK Group|SMC Holdings|Ukraine|Production|1||Underground|||730|Estimate||Bituminous||-|-|-|-|-|-|-|-|1973|||Ternivka|Pavlohrad|Dnipropetrovsk|Ukraine|804|Europe (non-EU)|48.4743947|36.1173475|Exact||||15.8|25.3|0.5|2.40
M1403|Samsonivska-Zakhidna Coal Mine|Samsonovka-Zapadnaya Coal Mine||https://www.gem.wiki/Samsonivska-Zakhidna_Coal_Mine||Mothballed|War in Ukraine|||DHK Krasnodonugol|Metinvest Group|Metinvest Group|Ukraine|Production|1.5||Underground|||730|Estimate||Bituminous||133|-|-|-|-|-|-|89|1999|||Samsonivka|Krasnodon|Luhansk|Ukraine|804|Europe (non-EU)|48.3810677|39.5852462|Exact||||15.8|37.9|0.8|3.60
M1404|Stepova Coal Mine||Степова|https://www.gem.wiki/Stepova_Coal_Mine||Operating||||DTEK Pavlogradugol|DTEK Group|SMC Holdings|Ukraine|Production|0.5||Underground|||730|Estimate||Bituminous||-|-|-|-|-|-|-|-|1965|||Mykolaivka|Petropavlivka|Dnipropetrovsk|Ukraine|804|Europe (non-EU)|48.3748676|36.373057|Exact||||15.8|12.6|0.3|1.20
M3348|Steppe (Pershotravensk) Coal Mine||Шахта Степная (Першотравенск)|https://www.gem.wiki/Steppe_(Pershotravensk)_Coal_Mine||Operating||||DTEK Pavlogradugol|DTEK Group|SMC Holdings|Ukraine|Production|0.13||Underground|||230|Exact|2200|Bituminous||-|-|-|-|-|-|-|-|1957|||||Dnipropetrovsk|Ukraine|804|Europe (non-EU)|48.375833|36.375278|Exact||||9.4|2.0|0.0|0.31
M3350|Toshkovskaya Coal Mine||Шахта Тошковская|https://www.gem.wiki/Toshkovskaya_Coal_Mine||Closed|War in Ukraine|||Pervomaiskugol|Pervomaiskugol|Ministry of Energy|Ukraine|Production|0.2||Underground||480|480|Exact||Bituminous||14|-|-|-|-|-|-|69||||Toshkovka||Luhansk|Ukraine|804|Europe (non-EU)|48.781304|38.534882|Exact||||13.6|4.4|0.1|0.48
M2882|Tsentrospilka Coal Mine|Centrosoyuz Coal Mine|Центроспілка, Центросоюз|https://www.gem.wiki/Tsentrospilka_Coal_Mine||Closed||||DTEK Sverdlovanthracite|DTEK Group|SMC Holdings|Ukraine|Production|0.53||Underground|||494|Estimate||Anthracite||-|-|-|-|-|-|-|-|1902|||Komsomol's'kyi (Dubove)|Sverdlovsk (Dovzhansk)|Luhansk|Ukraine|804|Europe (non-EU)|48.1233405|39.6654624|Exact||||24.1|20.4|0.4|1.37
M1310|V. V. Vakhrushev Coal Mine||В. В. Вахрушева|https://www.gem.wiki/V._V._Vakhrushev_Coal_Mine||Mothballed|War in Ukraine|||Rovenky Anthracite|JSC Vneshtorgservis|JSC Vneshtorgservis|South Ossetia|Production|1.2||Underground|||930|Estimate||Anthracite|Thermal|32|-|-|-|-|-|-|27|1954|22||Yasenivskyi|Antratsyt|Luhansk|Ukraine|804|Europe (non-EU)|48.1586361|39.1848963|Exact||||27.8|53.4|1.1|3.10
